iter	Passed	Remaining
0	179	178914
1	192	95817
2	207	68939
3	222	55299
4	230	45850
5	237	39284
6	242	34437
7	246	30601
8	249	27479
9	252	24985
10	255	22944
11	257	21235
12	260	19784
13	263	18526
14	265	17443
15	268	16493
16	270	15667
17	273	14943
18	276	14279
19	279	13679
20	281	13144
21	285	12672
22	288	12244
23	291	11853
24	294	11479
25	297	11127
26	299	10802
27	302	10504
28	305	10235
29	308	9976
30	311	9732
31	314	9499
32	316	9273
33	319	9066
34	321	8875
35	324	8692
36	327	8515
37	329	8351
38	333	8208
39	336	8067
40	339	7933
41	342	7801
42	344	7671
43	347	7551
44	350	7441
45	353	7335
46	356	7229
47	359	7124
48	362	7029
49	364	6931
50	367	6840
51	370	6757
52	373	6675
53	376	6593
54	379	6520
55	382	6451
56	386	6390
57	389	6327
58	393	6283
59	399	6251
60	402	6201
61	405	6141
62	409	6083
63	412	6031
64	415	5980
65	419	5933
66	422	5885
67	426	5838
68	429	5795
69	432	5750
70	436	5709
71	439	5667
72	444	5638
73	447	5596
74	450	5561
75	454	5529
76	458	5497
77	462	5462
78	465	5428
79	469	5393
80	472	5365
81	476	5334
82	479	5301
83	483	5277
84	489	5264
85	494	5253
86	498	5230
87	502	5206
88	505	5175
89	508	5144
90	512	5114
91	515	5084
92	518	5053
93	521	5024
94	524	4996
95	527	4968
96	531	4944
97	534	4916
98	537	4887
99	540	4861
100	543	4835
101	546	4814
102	550	4791
103	553	4767
104	557	4747
105	560	4728
106	564	4709
107	567	4686
108	570	4663
109	573	4639
110	576	4615
111	580	4603
112	583	4583
113	586	4561
114	590	4540
115	592	4518
116	596	4501
117	599	4483
118	602	4463
119	605	4441
120	608	4420
121	612	4404
122	615	4388
123	618	4372
124	622	4356
125	625	4337
126	628	4323
127	632	4307
128	635	4290
129	638	4275
130	642	4260
131	645	4246
132	649	4230
133	652	4216
134	655	4201
135	659	4188
136	663	4180
137	667	4169
138	670	4154
139	673	4138
140	677	4126
141	680	4112
142	683	4097
143	686	4082
144	690	4069
145	693	4053
146	696	4039
147	698	4023
148	701	4007
149	704	3992
150	707	3978
151	710	3964
152	713	3949
153	716	3934
154	719	3924
155	722	3911
156	726	3898
157	729	3886
158	732	3874
159	735	3863
160	739	3851
161	742	3839
162	744	3825
163	747	3811
164	750	3799
165	753	3787
166	756	3775
167	759	3763
168	762	3750
169	765	3738
170	768	3725
171	771	3715
172	774	3703
173	777	3692
174	781	3684
175	784	3672
176	787	3662
177	790	3652
178	794	3642
179	796	3630
180	800	3623
181	804	3613
182	807	3603
183	809	3592
184	813	3581
185	816	3571
186	819	3563
187	822	3553
188	825	3542
189	828	3532
190	831	3522
191	834	3512
192	837	3501
193	840	3492
194	843	3481
195	846	3470
196	849	3460
197	852	3451
198	855	3442
199	858	3434
200	861	3424
201	864	3415
202	867	3407
203	871	3400
204	874	3391
205	877	3382
206	880	3373
207	883	3364
208	887	3359
209	890	3350
210	893	3340
211	896	3331
212	899	3325
213	903	3317
214	906	3308
215	909	3299
216	912	3291
217	915	3285
218	919	3278
219	922	3270
220	925	3262
221	928	3253
222	931	3246
223	934	3237
224	937	3228
225	940	3220
226	943	3211
227	946	3204
228	949	3196
229	952	3187
230	955	3181
231	958	3174
232	961	3166
233	965	3159
234	968	3152
235	971	3145
236	974	3138
237	978	3131
238	981	3123
239	984	3116
240	987	3108
241	990	3101
242	993	3094
243	996	3088
244	999	3080
245	1002	3072
246	1005	3064
247	1008	3056
248	1010	3048
249	1014	3042
250	1017	3036
251	1021	3030
252	1024	3023
253	1027	3017
254	1031	3012
255	1034	3006
256	1037	3000
257	1040	2992
258	1043	2985
259	1046	2979
260	1049	2971
261	1052	2964
262	1055	2957
263	1058	2950
264	1062	2946
265	1065	2939
266	1068	2932
267	1071	2925
268	1074	2919
269	1077	2913
270	1080	2906
271	1083	2899
272	1086	2892
273	1089	2885
274	1092	2879
275	1095	2872
276	1097	2865
277	1101	2859
278	1104	2853
279	1107	2847
280	1111	2842
281	1113	2836
282	1117	2830
283	1120	2825
284	1123	2819
285	1127	2813
286	1129	2806
287	1132	2800
288	1135	2794
289	1139	2788
290	1142	2783
291	1145	2776
292	1148	2770
293	1151	2764
294	1154	2758
295	1157	2752
296	1160	2746
297	1163	2740
298	1166	2734
299	1169	2728
300	1173	2724
301	1177	2720
302	1180	2715
303	1183	2709
304	1186	2703
305	1189	2697
306	1192	2691
307	1195	2685
308	1198	2681
309	1202	2675
310	1205	2670
311	1209	2666
312	1212	2660
313	1215	2655
314	1218	2649
315	1222	2645
316	1225	2640
317	1228	2635
318	1231	2629
319	1235	2624
320	1238	2619
321	1241	2613
322	1244	2608
323	1247	2602
324	1250	2597
325	1254	2592
326	1257	2587
327	1260	2582
328	1263	2577
329	1267	2572
330	1270	2568
331	1274	2564
332	1277	2559
333	1280	2554
334	1284	2549
335	1287	2544
336	1290	2539
337	1294	2534
338	1297	2529
339	1300	2524
340	1304	2520
341	1307	2514
342	1310	2509
343	1313	2504
344	1316	2499
345	1320	2495
346	1323	2489
347	1326	2484
348	1329	2479
349	1332	2474
350	1335	2468
351	1338	2463
352	1341	2458
353	1343	2452
354	1347	2447
355	1350	2443
356	1354	2439
357	1356	2433
358	1359	2428
359	1363	2423
360	1366	2418
361	1369	2413
362	1372	2408
363	1375	2403
364	1378	2398
365	1381	2393
366	1385	2388
367	1388	2383
368	1391	2379
369	1395	2375
370	1398	2371
371	1401	2366
372	1404	2361
373	1408	2356
374	1411	2352
375	1414	2347
376	1417	2342
377	1420	2337
378	1423	2332
379	1426	2327
380	1429	2322
381	1432	2318
382	1435	2313
383	1439	2308
384	1442	2303
385	1445	2299
386	1449	2295
387	1452	2291
388	1455	2286
389	1458	2281
390	1462	2277
391	1465	2272
392	1468	2268
393	1471	2263
394	1475	2259
395	1478	2255
396	1481	2250
397	1485	2246
398	1488	2241
399	1491	2237
400	1495	2233
401	1498	2229
402	1501	2224
403	1504	2219
404	1507	2215
405	1511	2211
406	1515	2208
407	1518	2203
408	1522	2199
409	1525	2195
410	1529	2192
411	1533	2188
412	1536	2183
413	1539	2179
414	1543	2176
415	1547	2172
416	1551	2168
417	1554	2164
418	1558	2160
419	1561	2156
420	1565	2152
421	1568	2148
422	1572	2144
423	1576	2141
424	1579	2137
425	1583	2133
426	1586	2128
427	1590	2125
428	1593	2120
429	1596	2116
430	1599	2111
431	1602	2107
432	1606	2103
433	1609	2098
434	1612	2094
435	1615	2089
436	1618	2085
437	1621	2080
438	1624	2076
439	1627	2071
440	1630	2066
441	1633	2061
442	1635	2056
443	1639	2052
444	1642	2047
445	1644	2043
446	1647	2038
447	1651	2035
448	1655	2031
449	1658	2026
450	1661	2022
451	1664	2018
452	1667	2013
453	1670	2009
454	1673	2004
455	1676	1999
456	1679	1995
457	1681	1990
458	1684	1985
459	1687	1981
460	1690	1976
461	1693	1972
462	1696	1967
463	1699	1963
464	1702	1958
465	1705	1954
466	1708	1950
467	1711	1945
468	1714	1941
469	1717	1936
470	1720	1932
471	1723	1927
472	1726	1923
473	1729	1918
474	1731	1914
475	1735	1910
476	1738	1905
477	1741	1901
478	1744	1897
479	1747	1892
480	1749	1887
481	1753	1883
482	1756	1879
483	1758	1875
484	1761	1870
485	1764	1865
486	1767	1861
487	1770	1857
488	1772	1852
489	1775	1848
490	1778	1843
491	1781	1839
492	1784	1835
493	1787	1831
494	1790	1827
495	1794	1823
496	1797	1818
497	1800	1814
498	1803	1810
499	1806	1806
500	1809	1801
501	1812	1797
502	1815	1793
503	1818	1789
504	1821	1785
505	1824	1781
506	1827	1777
507	1831	1773
508	1835	1770
509	1837	1765
510	1840	1761
511	1844	1757
512	1848	1754
513	1851	1750
514	1854	1746
515	1856	1741
516	1859	1737
517	1863	1733
518	1866	1729
519	1868	1725
520	1872	1721
521	1874	1716
522	1878	1713
523	1881	1709
524	1884	1704
525	1887	1700
526	1890	1696
527	1893	1692
528	1896	1688
529	1900	1684
530	1903	1681
531	1906	1677
532	1910	1673
533	1913	1669
534	1915	1665
535	1918	1661
536	1921	1656
537	1924	1653
538	1928	1649
539	1930	1644
540	1933	1640
541	1936	1636
542	1939	1632
543	1942	1628
544	1945	1624
545	1950	1622
546	1953	1618
547	1956	1614
548	1959	1610
549	1962	1606
550	1966	1602
551	1969	1598
552	1971	1593
553	1975	1590
554	1978	1586
555	1981	1582
556	1984	1578
557	1987	1574
558	1990	1570
559	1993	1566
560	1997	1562
561	1999	1558
562	2002	1554
563	2006	1550
564	2009	1547
565	2012	1543
566	2015	1539
567	2019	1535
568	2021	1531
569	2025	1527
570	2028	1523
571	2031	1519
572	2034	1515
573	2037	1511
574	2040	1508
575	2043	1504
576	2046	1500
577	2049	1496
578	2051	1492
579	2055	1488
580	2058	1484
581	2061	1480
582	2064	1476
583	2067	1472
584	2070	1469
585	2074	1465
586	2077	1461
587	2079	1457
588	2082	1453
589	2085	1449
590	2089	1445
591	2092	1441
592	2094	1437
593	2097	1433
594	2100	1429
595	2104	1426
596	2107	1422
597	2110	1418
598	2113	1414
599	2116	1410
600	2119	1407
601	2122	1403
602	2125	1399
603	2128	1395
604	2131	1391
605	2134	1387
606	2138	1384
607	2141	1380
608	2144	1376
609	2147	1372
610	2150	1369
611	2153	1365
612	2157	1361
613	2160	1358
614	2163	1354
615	2165	1350
616	2169	1346
617	2172	1342
618	2175	1339
619	2178	1335
620	2181	1331
621	2185	1327
622	2188	1324
623	2191	1320
624	2194	1316
625	2197	1312
626	2200	1308
627	2203	1305
628	2206	1301
629	2208	1297
630	2211	1293
631	2215	1290
632	2219	1286
633	2222	1282
634	2224	1278
635	2228	1275
636	2231	1271
637	2234	1267
638	2237	1264
639	2240	1260
640	2243	1256
641	2246	1252
642	2249	1248
643	2252	1244
644	2254	1241
645	2257	1237
646	2260	1233
647	2264	1229
648	2267	1226
649	2270	1222
650	2273	1218
651	2276	1215
652	2279	1211
653	2282	1207
654	2285	1203
655	2288	1200
656	2291	1196
657	2294	1192
658	2297	1188
659	2300	1185
660	2303	1181
661	2306	1177
662	2309	1173
663	2311	1169
664	2314	1166
665	2317	1162
666	2320	1158
667	2323	1154
668	2326	1151
669	2330	1147
670	2333	1144
671	2336	1140
672	2338	1136
673	2341	1132
674	2344	1129
675	2347	1125
676	2350	1121
677	2354	1118
678	2356	1114
679	2360	1110
680	2363	1107
681	2367	1103
682	2370	1099
683	2373	1096
684	2376	1092
685	2379	1089
686	2382	1085
687	2385	1081
688	2388	1078
689	2391	1074
690	2394	1070
691	2397	1066
692	2400	1063
693	2403	1059
694	2406	1055
695	2408	1052
696	2412	1048
697	2415	1045
698	2418	1041
699	2421	1037
700	2424	1034
701	2427	1030
702	2430	1026
703	2433	1023
704	2436	1019
705	2439	1015
706	2442	1012
707	2445	1008
708	2448	1005
709	2452	1001
710	2454	997
711	2458	994
712	2462	991
713	2465	987
714	2468	983
715	2471	980
716	2475	977
717	2478	973
718	2481	969
719	2485	966
720	2488	962
721	2491	959
722	2494	955
723	2497	952
724	2500	948
725	2504	945
726	2507	941
727	2510	938
728	2513	934
729	2516	930
730	2520	927
731	2525	924
732	2528	921
733	2531	917
734	2535	913
735	2538	910
736	2541	907
737	2545	903
738	2548	900
739	2551	896
740	2555	893
741	2558	889
742	2561	885
743	2564	882
744	2567	878
745	2571	875
746	2574	872
747	2578	868
748	2581	865
749	2584	861
750	2588	858
751	2592	854
752	2596	851
753	2599	848
754	2603	844
755	2606	841
756	2610	837
757	2613	834
758	2616	830
759	2619	827
760	2623	823
761	2626	820
762	2629	816
763	2632	813
764	2635	809
765	2639	806
766	2642	802
767	2646	799
768	2649	795
769	2653	792
770	2656	788
771	2659	785
772	2662	781
773	2665	778
774	2668	774
775	2671	771
776	2674	767
777	2677	764
778	2681	760
779	2684	757
780	2688	753
781	2691	750
782	2695	746
783	2698	743
784	2702	740
785	2705	736
786	2708	732
787	2711	729
788	2715	726
789	2718	722
790	2722	719
791	2725	715
792	2728	712
793	2732	708
794	2735	705
795	2739	702
796	2743	698
797	2746	695
798	2750	692
799	2755	688
800	2758	685
801	2762	682
802	2767	678
803	2771	675
804	2775	672
805	2780	669
806	2784	665
807	2788	662
808	2791	659
809	2796	656
810	2801	652
811	2805	649
812	2809	646
813	2813	643
814	2818	639
815	2822	636
816	2826	633
817	2831	629
818	2835	626
819	2839	623
820	2843	620
821	2848	616
822	2852	613
823	2856	610
824	2861	607
825	2866	603
826	2870	600
827	2874	597
828	2879	593
829	2883	590
830	2888	587
831	2893	584
832	2898	581
833	2902	577
834	2907	574
835	2912	571
836	2917	568
837	2923	565
838	2928	562
839	2933	558
840	2938	555
841	2943	552
842	2947	548
843	2952	545
844	2957	542
845	2962	539
846	2966	535
847	2972	532
848	2976	529
849	2981	526
850	2986	522
851	2991	519
852	2996	516
853	3001	513
854	3006	509
855	3011	506
856	3016	503
857	3022	500
858	3027	496
859	3032	493
860	3037	490
861	3043	487
862	3047	483
863	3052	480
864	3057	477
865	3062	473
866	3066	470
867	3071	467
868	3076	463
869	3081	460
870	3087	457
871	3092	453
872	3097	450
873	3102	447
874	3108	444
875	3113	440
876	3118	437
877	3123	433
878	3128	430
879	3132	427
880	3138	423
881	3143	420
882	3148	417
883	3153	413
884	3158	410
885	3164	407
886	3169	403
887	3174	400
888	3179	396
889	3184	393
890	3188	390
891	3193	386
892	3199	383
893	3204	379
894	3209	376
895	3214	373
896	3219	369
897	3224	366
898	3229	362
899	3234	359
900	3240	356
901	3245	352
902	3250	349
903	3254	345
904	3259	342
905	3264	338
906	3269	335
907	3274	331
908	3280	328
909	3285	324
910	3290	321
911	3295	318
912	3301	314
913	3306	311
914	3312	307
915	3317	304
916	3322	300
917	3327	297
918	3332	293
919	3337	290
920	3343	286
921	3349	283
922	3354	279
923	3359	276
924	3365	272
925	3370	269
926	3377	265
927	3382	262
928	3387	258
929	3393	255
930	3397	251
931	3402	248
932	3408	244
933	3413	241
934	3418	237
935	3423	234
936	3428	230
937	3434	227
938	3440	223
939	3445	219
940	3451	216
941	3456	212
942	3461	209
943	3465	205
944	3471	202
945	3476	198
946	3481	194
947	3487	191
948	3492	187
949	3497	184
950	3502	180
951	3508	176
952	3514	173
953	3520	169
954	3525	166
955	3531	162
956	3537	158
957	3543	155
958	3549	151
959	3555	148
960	3561	144
961	3566	140
962	3572	137
963	3577	133
964	3583	129
965	3589	126
966	3595	122
967	3601	119
968	3607	115
969	3613	111
970	3618	108
971	3624	104
972	3630	100
973	3636	97
974	3641	93
975	3647	89
976	3654	86
977	3660	82
978	3666	78
979	3672	74
980	3678	71
981	3684	67
982	3689	63
983	3694	60
984	3699	56
985	3705	52
986	3710	48
987	3715	45
988	3720	41
989	3726	37
990	3731	33
991	3736	30
992	3742	26
993	3747	22
994	3753	18
995	3758	15
996	3763	11
997	3768	7
998	3774	3
999	3779	0
