iter	Passed	Remaining
0	132	131976
1	138	68970
2	146	48797
3	153	38298
4	159	31756
5	165	27366
6	171	24380
7	177	22027
8	183	20259
9	190	18896
10	197	17728
11	203	16718
12	208	15858
13	215	15165
14	221	14513
15	226	13951
16	232	13454
17	238	12991
18	243	12584
19	249	12209
20	254	11881
21	260	11569
22	265	11281
23	271	11031
24	276	10802
25	282	10582
26	288	10386
27	293	10202
28	299	10033
29	305	9873
30	310	9719
31	316	9576
32	321	9428
33	327	9293
34	333	9189
35	339	9083
36	344	8966
37	350	8868
38	355	8770
39	361	8679
40	367	8588
41	372	8505
42	378	8419
43	383	8337
44	389	8262
45	395	8201
46	401	8141
47	407	8083
48	413	8021
49	418	7956
50	424	7895
51	429	7833
52	435	7777
53	440	7717
54	445	7659
55	451	7613
56	457	7563
57	462	7513
58	468	7471
59	474	7431
60	480	7389
61	485	7344
62	491	7303
63	496	7264
64	502	7223
65	507	7181
66	513	7146
67	518	7113
68	524	7075
69	530	7048
70	536	7013
71	541	6981
72	547	6949
73	552	6918
74	558	6893
75	564	6862
76	569	6831
77	575	6803
78	580	6772
79	586	6741
80	592	6718
81	597	6691
82	603	6668
83	609	6645
84	615	6623
85	621	6600
86	626	6576
87	632	6557
88	638	6531
89	643	6506
90	649	6483
91	654	6459
92	659	6436
93	665	6415
94	671	6393
95	676	6370
96	682	6350
97	687	6326
98	693	6307
99	698	6288
100	704	6268
101	710	6253
102	715	6234
103	723	6232
104	730	6225
105	736	6208
106	742	6193
107	747	6175
108	755	6173
109	760	6154
110	766	6136
111	772	6127
112	778	6113
113	784	6098
114	790	6081
115	795	6063
116	801	6045
117	806	6029
118	812	6015
119	818	5998
120	823	5983
121	829	5967
122	834	5952
123	840	5938
124	846	5923
125	851	5908
126	857	5895
127	863	5885
128	869	5874
129	875	5859
130	880	5844
131	886	5831
132	892	5816
133	897	5802
134	903	5787
135	908	5774
136	914	5759
137	920	5747
138	925	5734
139	931	5721
140	936	5708
141	942	5694
142	947	5680
143	953	5667
144	959	5655
145	964	5643
146	970	5631
147	976	5618
148	981	5606
149	986	5592
150	992	5580
151	998	5569
152	1003	5556
153	1009	5544
154	1014	5531
155	1019	5518
156	1025	5506
157	1030	5493
158	1036	5480
159	1041	5468
160	1046	5455
161	1052	5444
162	1057	5432
163	1063	5420
164	1068	5409
165	1074	5398
166	1080	5387
167	1085	5377
168	1091	5366
169	1096	5355
170	1102	5343
171	1107	5331
172	1113	5320
173	1119	5312
174	1124	5301
175	1130	5292
176	1136	5282
177	1141	5271
178	1147	5262
179	1153	5252
180	1158	5242
181	1163	5231
182	1169	5220
183	1174	5209
184	1180	5200
185	1186	5190
186	1191	5181
187	1197	5170
188	1202	5159
189	1208	5151
190	1213	5140
191	1219	5129
192	1224	5119
193	1230	5110
194	1235	5099
195	1240	5089
196	1246	5079
197	1251	5070
198	1257	5061
199	1264	5056
200	1270	5049
201	1276	5041
202	1281	5032
203	1287	5024
204	1294	5020
205	1311	5053
206	1320	5056
207	1328	5060
208	1338	5067
209	1347	5067
210	1356	5071
211	1362	5065
212	1368	5057
